ablation,n_features,mean_logloss,std_logloss
PreDraft_Full,252,0.6340372574382653,0.026585819368374772
PreDraft+ChampMeta,261,0.6332517110679563,0.026816520074982128
PreDraft+ChampComfort,258,0.633824080247767,0.027177477904386564
PreDraft+Series,262,0.6341678084815946,0.026738007776133336
Draft_Full,277,0.6331981673340271,0.027593761956610896
