question,team1,team2,end_date,year,p_model,p_market,edge,result,bet_direction,kelly_size,stake,directional_pnl,total_pnl,cumulative_pnl,model_correct,elo_correct,volume
LoL: Karmine Corp Blue vs GIANTX (BO1) - LEC Versus Regular Season,Karmine Corp Blue,GIANTX (BO1) - LEC Versus Regular Season,2026-02-08,2026,0.4495,0.8256636238866609,-0.3762,1,NO,0.1,1000.0,-178.6547,-178.6547,10816.2437,0,1,347569.6
LoL: SK Gaming vs Shifters (BO1) - LEC Versus Regular Season,SK Gaming,Shifters (BO1) - LEC Versus Regular Season,2026-02-08,2026,0.5242,0.12140766550036099,0.4028,0,YES,0.1,1000.0,-124.6077,-124.6077,10691.636,0,1,477778.25
LoL: Natus Vincere vs G2 Esports (BO1) - LEC Versus Regular Season,Natus Vincere,G2 Esports (BO1) - LEC Versus Regular Season,2026-02-08,2026,0.396,0.17528651698488648,0.2207,1,YES,0.0659,659.0,540.6282,540.6282,11232.2642,0,0,508257.57
LoL: RED Canids vs FURIA Esports (BO3) - CBLOL Cup Playoffs,RED Canids,FURIA Esports (BO3) - CBLOL Cup Playoffs,2026-02-08,2026,0.5061,0.6111749689796285,-0.1051,1,NO,0.0405,405.0,-160.3615,-160.3615,11071.9027,1,1,124865.06
LoL: Disguised vs LYON (BO3) - LCS Lock In Group Stage,Disguised,LYON (BO3) - LCS Lock In Group Stage,2026-02-08,2026,0.5777,0.2296049872681381,0.3481,1,YES,0.1,1000.0,765.0884,765.0884,11836.9911,1,0,394566.13
LoL: Team Liquid vs Sentinels (BO3) - LCS Lock In Group Stage,Team Liquid,Sentinels (BO3) - LCS Lock In Group Stage,2026-02-08,2026,0.5606,0.5439812233380338,0.0166,0,PASS,0.0,0.0,0.0,0.0,11836.9911,0,0,291947.77
LoL: Team Vitality vs Movistar KOI (BO1) - LEC Versus Regular Season,Team Vitality,Movistar KOI (BO1) - LEC Versus Regular Season,2026-02-08,2026,0.3525,0.32356960154014164,0.0289,1,YES,0.0083,83.0,55.5987,55.5987,11892.5898,0,0,286016.32
LoL: LOS vs LOUD (BO3) - CBLOL Cup Playoffs,LOS,LOUD (BO3) - CBLOL Cup Playoffs,2026-02-09,2026,0.5616,0.7668504442820803,-0.2053,0,NO,0.0656,656.0,499.5353,499.5353,12392.1251,0,0,138180.63
LoL: Top Esports vs Team WE (BO5) - LPL Knights Rivals,Top Esports,Team WE (BO5) - LPL Knights Rivals,2026-02-09,2026,0.5834,0.5492687636247304,0.0341,1,YES,0.0151,151.0,66.9389,66.9389,12459.064,1,1,1528543.62
LoL: Team Liquid vs Dignitas (BO1) - LCS Lock In Last Chance Qualifier,Team Liquid,Dignitas (BO1) - LCS Lock In Last Chance Qualifier,2026-02-09,2026,0.7165,0.5439812233380338,0.1725,1,YES,0.092,920.0,412.6907,412.6907,12871.7547,1,1,128132.77
LoL: Invictus Gaming vs Ninjas in Pyjamas (BO5) - LPL Knights Rivals,Invictus Gaming,Ninjas in Pyjamas (BO5) - LPL Knights Rivals,2026-02-09,2026,0.3687,0.4815532941577565,-0.1129,0,NO,0.0556,556.0,263.5793,263.5793,13135.334,1,1,1493731.13
LoL: Team Heretics vs Karmine Corp (BO1) - LEC Versus Regular Season,Team Heretics,Karmine Corp (BO1) - LEC Versus Regular Season,2026-02-09,2026,0.2568,0.2392007157098165,0.0176,1,PASS,0.0,0.0,0.0,0.0,13135.334,0,0,508965.59
LoL: Nongshim Esports Academy vs Hanwha Life Esports Challengers (BO5) - LCK Challengers League Kickoff Playoffs,Nongshim Esports Academy,Hanwha Life Esports Challengers (BO5) - LCK Challengers League Kickoff Playoffs,2026-02-09,2026,0.7358,0.6866815394501479,0.0491,1,YES,0.0348,348.0,106.7887,106.7887,13242.1227,1,1,417785.3
LoL: Fnatic vs G2 Esports (BO1) - LEC Versus Regular Season,Fnatic,G2 Esports (BO1) - LEC Versus Regular Season,2026-02-09,2026,0.3288,0.3572438367629422,-0.0284,0,NO,0.0154,154.0,53.9547,53.9547,13296.0774,1,1,665907.37
LoL: Dignitas vs Shopify Rebellion (BO3) - LCS Lock In Group Stage,Dignitas,Shopify Rebellion (BO3) - LCS Lock In Group Stage,2026-02-09,2026,0.4305,0.3185175581994258,0.112,1,YES,0.0391,391.0,263.9135,263.9135,13559.9909,0,0,350470.21
LoL: DRX Challengers vs T1 Academy (BO5) - LCK Challengers League Kickoff Playoffs,DRX Challengers,T1 Academy (BO5) - LCK Challengers League Kickoff Playoffs,2026-02-09,2026,0.2571,0.38856185943933125,-0.1315,0,NO,0.0815,815.0,310.869,310.869,13870.8599,1,1,574584.44
LoL: Cloud9 vs FlyQuest (BO3) - LCS Lock In Group Stage,Cloud9,FlyQuest (BO3) - LCS Lock In Group Stage,2026-02-09,2026,0.4681,0.3743813291299905,0.0937,1,YES,0.035,350.0,216.5072,216.5072,14087.3671,0,0,680845.73
LoL: Natus Vincere vs Movistar KOI (BO1) - LEC Versus Regular Season,Natus Vincere,Movistar KOI (BO1) - LEC Versus Regular Season,2026-02-09,2026,0.4349,0.28533835832806037,0.1496,0,YES,0.0506,506.0,-147.4767,-147.4767,13939.8904,1,1,519420.57
LoL: Hanwha Life Esports Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,Hanwha Life Esports Challengers,DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,2026-02-10,2026,0.4926,0.3892245706836203,0.1034,0,YES,0.0399,399.0,-158.1462,-158.1462,13781.7442,1,1,483671.72
LoL: ThunderTalk Gaming vs LNG Esports (BO5) - LPL Knights Rivals,ThunderTalk Gaming,LNG Esports (BO5) - LPL Knights Rivals,2026-02-10,2026,0.2084,0.23196692695828644,-0.0236,0,NO,0.0201,201.0,45.5511,45.5511,13827.2952,1,1,274105.05
LoL: EDward Gaming vs Oh My God (BO5) - LPL Knights Rivals,EDward Gaming,Oh My God (BO5) - LPL Knights Rivals,2026-02-10,2026,0.641,0.5646456033675175,0.0764,0,YES,0.0403,403.0,-230.5242,-230.5242,13596.7711,0,0,1915177.11
LoL: Invictus Gaming vs Oh My God (BO5) - LPL Knights Rivals,Invictus Gaming,Oh My God (BO5) - LPL Knights Rivals,2026-02-11,2026,0.5373,0.5137067458573114,0.0236,1,YES,0.0084,84.0,40.2191,40.2191,13636.9902,1,1,1527740.79
LoL: Team WE vs LNG Esports (BO5) - LPL Knights Rivals,Team WE,LNG Esports (BO5) - LPL Knights Rivals,2026-02-11,2026,0.3247,0.2795249376491543,0.0452,1,YES,0.0137,137.0,97.8774,97.8774,13734.8676,0,0,1246304.85
LoL: Dplus KIA vs DRX (BO5) - LCK Cup Playoffs,Dplus KIA,DRX (BO5) - LCK Cup Playoffs,2026-02-13,2026,0.6658,0.7581334046052486,-0.0923,1,NO,0.0288,288.0,-71.2419,-71.2419,13663.6257,1,1,2618241.48
LoL: Vivo Keyd Stars vs Leviatan Esports (BO5) - CBLOL Cup Playoffs,Vivo Keyd Stars,Leviatan Esports (BO5) - CBLOL Cup Playoffs,2026-02-14,2026,0.4844,0.538958941572831,-0.0546,0,NO,0.0222,222.0,117.994,117.994,13781.6197,1,0,337674.14
LoL: Gen.G vs Dplus KIA (BO5) - LCK Cup Playoffs,Gen.G,Dplus KIA (BO5) - LCK Cup Playoffs,2026-02-14,2026,0.6498,0.6751863147416001,-0.0254,1,NO,0.007,70.0,-23.1975,-23.1975,13758.4222,1,1,1803450.04
LoL: FURIA Esports vs Leviatan Esports (BO5) - CBLOL Cup Playoffs,FURIA Esports,Leviatan Esports (BO5) - CBLOL Cup Playoffs,2026-02-15,2026,0.6159,0.480663191734295,0.1352,1,YES,0.0624,624.0,319.3932,319.3932,14077.8153,1,0,234004.24
LoL: T1 vs BNK FEARX (BO5) - LCK Cup Playoffs,T1,BNK FEARX (BO5) - LCK Cup Playoffs,2026-02-15,2026,0.6479,0.743310721420186,-0.0954,0,NO,0.0304,304.0,224.2264,224.2264,14302.0417,0,0,2112014.87
LoL: Sentinels vs Disguised (BO5) - LCS Lock In Playoffs,Sentinels,Disguised (BO5) - LCS Lock In Playoffs,2026-02-15,2026,0.3553,0.40459722120264,-0.0493,1,NO,0.0265,265.0,-159.6969,-159.6969,14142.3448,0,0,837470.4
LoL: Natus Vincere vs Fnatic (BO3) - LEC Versus Playoffs,Natus Vincere,Fnatic (BO3) - LEC Versus Playoffs,2026-02-16,2026,0.6198,0.28533835832806037,0.3345,1,YES,0.1,1000.0,708.544,708.544,14850.8889,1,0,808490.13
LoL: Cloud9 vs FlyQuest (BO5) - LCS Lock In Playoffs,Cloud9,FlyQuest (BO5) - LCS Lock In Playoffs,2026-02-16,2026,0.6791,0.45573953524763194,0.2234,1,YES,0.1,1000.0,536.8192,536.8192,15387.7081,1,0,710949.99
LoL: Team Vitality vs Movistar KOI (BO3) - LEC Versus Playoffs,Team Vitality,Movistar KOI (BO3) - LEC Versus Playoffs,2026-02-16,2026,0.3815,0.23314955571791968,0.1484,0,YES,0.0469,469.0,-111.8627,-111.8627,15275.8454,1,1,706868.6
LoL: Karmine Corp vs GIANTX (BO3) - LEC Versus Playoffs,Karmine Corp,GIANTX (BO3) - LEC Versus Playoffs,2026-02-17,2026,0.6773,0.7607992842901835,-0.0835,1,NO,0.0258,258.0,-63.1223,-63.1223,15212.723,1,1,1018951.07
LoL: Team Heretics vs G2 Esports (BO3) - LEC Versus Playoffs,Team Heretics,G2 Esports (BO3) - LEC Versus Playoffs,2026-02-17,2026,0.3295,0.2392007157098165,0.0903,0,YES,0.0281,281.0,-68.7495,-68.7495,15143.9735,1,1,713276.97
LoL: Natus Vincere vs Movistar KOI (BO3) - LEC Versus Playoffs,Natus Vincere,Movistar KOI (BO3) - LEC Versus Playoffs,2026-02-20,2026,0.4231,0.352960862102805,0.0701,0,YES,0.0247,247.0,-88.8736,-88.8736,15055.0999,1,1,421640.18
LoL: Karmine Corp vs G2 Esports (BO3) - LEC Versus Playoffs,Karmine Corp,G2 Esports (BO3) - LEC Versus Playoffs,2026-02-20,2026,0.5149,0.668909848664208,-0.154,0,NO,0.0556,556.0,368.2198,368.2198,15423.3196,0,0,970683.38
LoL: Gen.G vs BNK FEARX (BO5) - LCK Cup Playoffs,Gen.G,BNK FEARX (BO5) - LCK Cup Playoffs,2026-02-21,2026,0.7407,0.7623730595503825,-0.0217,1,NO,0.0054,54.0,-13.1253,-13.1253,15410.1943,1,1,1583971.47
LoL: Disguised vs Team Liquid (BO5) - LCS Lock In Playoffs,Disguised,Team Liquid (BO5) - LCS Lock In Playoffs,2026-02-21,2026,0.3596,0.4752709286228007,-0.1157,0,NO,0.0578,578.0,270.3822,270.3822,15680.5765,1,1,431799.05
LoL: GIANTX vs Team Heretics (BO3) - LEC Versus Playoffs,GIANTX,Team Heretics (BO3) - LEC Versus Playoffs,2026-02-21,2026,0.5082,0.331090151335792,0.1771,1,YES,0.0643,643.0,425.8369,425.8369,16106.4134,1,0,872532.59
LoL: LOUD vs RED Canids (BO5) - CBLOL Cup Playoffs,LOUD,RED Canids (BO5) - CBLOL Cup Playoffs,2026-02-21,2026,0.4684,0.5606394058570345,-0.0922,1,NO,0.0383,383.0,-171.1054,-171.1054,15935.308,0,1,110926.92
LoL: Natus Vincere vs GIANTX (BO3) - LEC Versus Playoffs,Natus Vincere,GIANTX (BO3) - LEC Versus Playoffs,2026-02-22,2026,0.4576,0.2728999199021248,0.1847,0,YES,0.062,620.0,-172.8887,-172.8887,15762.4194,1,1,901458.78
LoL: LOS vs FURIA Esports (BO5) - CBLOL Cup Playoffs,LOS,FURIA Esports (BO5) - CBLOL Cup Playoffs,2026-02-22,2026,0.4955,0.7668504442820803,-0.2714,0,NO,0.0873,873.0,664.7779,664.7779,16427.1973,1,0,170330.89
LoL: FlyQuest vs LYON (BO5) - LCS Lock In Playoffs,FlyQuest,LYON (BO5) - LCS Lock In Playoffs,2026-02-22,2026,0.4882,0.7683975590063435,-0.2802,0,NO,0.0901,901.0,687.5159,687.5159,17114.7132,1,0,680715.77
LoL: T1 vs Dplus KIA (BO5) - LCK Cup Playoffs,T1,Dplus KIA (BO5) - LCK Cup Playoffs,2026-02-22,2026,0.5818,0.7605686512397978,-0.1788,0,NO,0.0574,574.0,433.4306,433.4306,17548.1437,0,0,2967796.98
LoL: Fnatic vs Team Vitality (BO3) - LEC Versus Playoffs,Fnatic,Team Vitality (BO3) - LEC Versus Playoffs,2026-02-22,2026,0.3934,0.5267438225001856,-0.1333,0,NO,0.0606,606.0,314.6748,314.6748,17862.8185,1,0,715104.15
LoL: KT Rolster Challengers vs T1 Academy (BO5) - LCK Challengers League Kickoff Playoffs,KT Rolster Challengers,T1 Academy (BO5) - LCK Challengers League Kickoff Playoffs,2026-02-23,2026,0.5104,0.7012679088611575,-0.1909,0,NO,0.0664,664.0,461.4688,461.4688,18324.2873,0,0,354577.13
LoL: Karmine Corp vs Team Vitality (BO3) - LEC Versus Playoffs,Karmine Corp,Team Vitality (BO3) - LEC Versus Playoffs,2026-02-23,2026,0.5876,0.6274815270270505,-0.0399,1,NO,0.0132,132.0,-50.0981,-50.0981,18274.1892,1,1,742138.36
LoL: DN SOOPers Challengers vs Nongshim Esports Academy (BO5) - LCK Challengers League Kickoff Playoffs,DN SOOPers Challengers,Nongshim Esports Academy (BO5) - LCK Challengers League Kickoff Playoffs,2026-02-23,2026,0.5025,0.6919994600414833,-0.1895,0,NO,0.0668,668.0,457.9844,457.9844,18732.1736,0,0,491493.0
LoL: G2 Esports vs Movistar KOI (BO5) - LEC Versus Playoffs,G2 Esports,Movistar KOI (BO5) - LEC Versus Playoffs,2026-02-23,2026,0.5063,0.5999997039566313,-0.0937,1,NO,0.0365,365.0,-148.6281,-148.6281,18583.5455,1,1,889300.94
LoL: Cloud9 vs Sentinels (BO5) - LCS Lock In Playoffs,Cloud9,Sentinels (BO5) - LCS Lock In Playoffs,2026-02-23,2026,0.8065,0.7745615587536454,0.0319,1,YES,0.0303,303.0,66.7206,66.7206,18650.2661,1,1,392714.11
LoL: Anyone's Legend vs Team WE (BO5) - LPL Playoffs,Anyone's Legend,Team WE (BO5) - LPL Playoffs,2026-02-24,2026,0.6161,0.5581832016929366,0.0579,1,YES,0.0291,291.0,126.4157,126.4157,18776.6818,1,1,866843.0
LoL: JD Gaming vs Top Esports (BO5) - LPL Playoffs,JD Gaming,Top Esports (BO5) - LPL Playoffs,2026-02-24,2026,0.4258,0.4507312363752695,-0.0249,1,NO,0.0099,99.0,-55.1129,-55.1129,18721.5689,0,0,2828040.71
LoL: DN SOOPers Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,DN SOOPers Challengers,DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,2026-02-24,2026,0.5897,0.5337094744425114,0.056,0,YES,0.0264,264.0,-142.8703,-142.8703,18578.6986,0,0,337480.58
LoL: Bilibili Gaming vs Ninjas in Pyjamas (BO5) - LPL Playoffs,Bilibili Gaming,Ninjas in Pyjamas (BO5) - LPL Playoffs,2026-02-25,2026,0.5271,0.4418167983070634,0.0853,1,YES,0.0354,354.0,194.9778,194.9778,18773.6764,1,0,1121775.62
LoL: T1 Academy vs Nongshim Esports Academy (BO5) - LCK Challengers League Kickoff Playoffs,T1 Academy,Nongshim Esports Academy (BO5) - LCK Challengers League Kickoff Playoffs,2026-02-25,2026,0.6223,0.661126559608441,-0.0388,1,NO,0.0123,123.0,-42.5081,-42.5081,18731.1683,1,1,252530.95
LoL: Weibo Gaming vs Invictus Gaming (BO5) - LPL Playoffs,Weibo Gaming,Invictus Gaming (BO5) - LPL Playoffs,2026-02-25,2026,0.4805,0.5184467058422435,-0.0379,1,NO,0.0149,149.0,-72.8674,-72.8674,18658.3009,0,1,949491.48
LoL: JD Gaming vs Anyone's Legend (BO5) - LPL Playoffs,JD Gaming,Anyone's Legend (BO5) - LPL Playoffs,2026-02-26,2026,0.398,0.4598479282668432,-0.0618,1,NO,0.0301,301.0,-164.8287,-164.8287,18493.4722,0,0,2087184.15
LoL: KT Rolster Challengers vs DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,KT Rolster Challengers,DRX Challengers (BO5) - LCK Challengers League Kickoff Playoffs,2026-02-26,2026,0.5905,0.5224584102758175,0.068,1,YES,0.0322,322.0,151.3583,151.3583,18644.8304,1,1,223616.63
LoL: GIANTX vs Karmine Corp (BO5) - LEC Versus Playoffs,GIANTX,Karmine Corp (BO5) - LEC Versus Playoffs,2026-02-27,2026,0.4548,0.5749098665806798,-0.1201,0,NO,0.0497,497.0,282.0864,282.0864,18926.9168,1,0,525017.72
LoL: Weibo Gaming vs Bilibili Gaming (BO5) - LPL Playoffs,Weibo Gaming,Bilibili Gaming (BO5) - LPL Playoffs,2026-02-27,2026,0.4404,0.5983570040473389,-0.158,0,NO,0.0638,638.0,377.1519,377.1519,19304.0687,1,0,1232449.21
LoL: BNK FEARX vs Dplus KIA (BO5) - LCK Cup Playoffs,BNK FEARX,Dplus KIA (BO5) - LCK Cup Playoffs,2026-02-28,2026,0.5319,0.2241668575975595,0.3077,1,YES,0.0981,981.0,755.974,755.974,20060.0427,1,0,1793116.53
LoL: LYON vs Team Liquid (BO5) - LCS Lock In Playoffs,LYON,Team Liquid (BO5) - LCS Lock In Playoffs,2026-02-28,2026,0.4932,0.4693907402320192,0.0238,1,YES,0.0078,78.0,40.8047,40.8047,20100.8474,0,0,713520.23
LoL: RED Canids vs FURIA Esports (BO5) - CBLOL Cup Playoffs,RED Canids,FURIA Esports (BO5) - CBLOL Cup Playoffs,2026-02-28,2026,0.479,0.4947180110387139,-0.0157,1,PASS,0.0,0.0,0.0,0.0,20100.8474,0,0,264345.09
LoL: Top Esports vs Team WE (BO5) - LPL Playoffs,Top Esports,Team WE (BO5) - LPL Playoffs,2026-02-28,2026,0.5919,0.5401520717331568,0.0517,1,YES,0.0245,245.0,110.8371,110.8371,20211.6845,1,1,621090.8
LoL: Movistar KOI vs Karmine Corp (BO5) - LEC Versus Playoffs,Movistar KOI,Karmine Corp (BO5) - LEC Versus Playoffs,2026-02-28,2026,0.3853,0.3500548353070028,0.0352,0,YES,0.011,110.0,-39.2568,-39.2568,20172.4277,1,1,1330341.13
LoL: LOUD vs RED Canids (BO5) - CBLOL Cup Playoffs,LOUD,RED Canids (BO5) - CBLOL Cup Playoffs,2026-03-01,2026,0.5285,0.5052819889612862,0.0232,1,YES,0.0081,81.0,39.4647,39.4647,20211.8924,1,1,158542.7
LoL: G2 Esports vs Karmine Corp (BO5) - LEC Versus Playoffs,G2 Esports,Karmine Corp (BO5) - LEC Versus Playoffs,2026-03-01,2026,0.6099,0.6499451646929972,-0.04,1,NO,0.0129,129.0,-46.0376,-46.0376,20165.8548,1,1,2241753.82
LoL: Gen.G vs BNK FEARX (BO5) - LCK Cup Playoffs,Gen.G,BNK FEARX (BO5) - LCK Cup Playoffs,2026-03-01,2026,0.6868,0.7758331424024405,-0.089,1,NO,0.0272,272.0,-62.3925,-62.3925,20103.4623,1,1,2119079.19
LoL: Sentinels vs LYON (BO5) - LCS Lock In Playoffs,Sentinels,LYON (BO5) - LCS Lock In Playoffs,2026-03-01,2026,0.3155,0.42319937466433255,-0.1077,0,NO,0.0603,603.0,250.7734,250.7734,20354.2357,1,1,461150.83
LoL: Invictus Gaming vs Ninjas in Pyjamas (BO5) - LPL Playoffs,Invictus Gaming,Ninjas in Pyjamas (BO5) - LPL Playoffs,2026-03-01,2026,0.4615,0.40164299595266106,0.0599,1,YES,0.0223,223.0,131.8258,131.8258,20486.0616,0,0,818372.09
LoL: Nongshim Esports Academy vs KT Rolster Challengers (BO5) - LCK Challengers League Kickoff Playoffs,Nongshim Esports Academy,KT Rolster Challengers (BO5) - LCK Challengers League Kickoff Playoffs,2026-03-02,2026,0.4402,0.3455012653842524,0.0947,1,YES,0.0339,339.0,219.5753,219.5753,20705.6369,0,0,468499.28
LoL: Weibo Gaming vs Top Esports (BO5) - LPL Playoffs,Weibo Gaming,Top Esports (BO5) - LPL Playoffs,2026-03-02,2026,0.397,0.3583222458640492,0.0387,1,YES,0.0125,125.0,79.3475,79.3475,20784.9844,0,0,2682952.69
LoL: Cloud9 vs LYON (BO5) - LCS Lock In Playoffs,Cloud9,LYON (BO5) - LCS Lock In Playoffs,2026-03-02,2026,0.6789,0.7269929937555161,-0.0481,0,NO,0.0146,146.0,105.2717,105.2717,20890.256,0,0,980490.76
LoL: Anyone's Legend vs Invictus Gaming (BO5) - LPL Playoffs,Anyone's Legend,Invictus Gaming (BO5) - LPL Playoffs,2026-03-03,2026,0.5696,0.6316100684337504,-0.062,1,NO,0.022,220.0,-82.5815,-82.5815,20807.6746,1,1,1781301.06
LoL: T1 Academy vs Nongshim Esports Academy (BO5) - LCK Challengers League Kickoff Playoffs,T1 Academy,Nongshim Esports Academy (BO5) - LCK Challengers League Kickoff Playoffs,2026-03-03,2026,0.6182,0.661126559608441,-0.0429,0,NO,0.0138,138.0,90.3079,90.3079,20897.9825,0,0,567794.68
LoL: JD Gaming vs Bilibili Gaming (BO5) - LPL Playoffs,JD Gaming,Bilibili Gaming (BO5) - LPL Playoffs,2026-03-04,2026,0.3471,0.3683899315662496,-0.0213,0,NO,0.0099,99.0,35.7795,35.7795,20933.7621,1,1,2691651.43
LoL: EDward Gaming vs Ultra Prime (BO3) - Esports World Cup China Qualifier Phase 1,EDward Gaming,Ultra Prime (BO3) - Esports World Cup China Qualifier Phase 1,2026-03-27,2026,0.7143,0.6088248540521914,0.1055,0,YES,0.064,640.0,-394.2205,-394.2205,20539.5415,0,0,474715.12
LoL: Oh My God vs Ultra Prime (BO3) - Esports World Cup China Qualifier Phase 1,Oh My God,Ultra Prime (BO3) - Esports World Cup China Qualifier Phase 1,2026-03-28,2026,0.567,0.3416760200476423,0.2253,1,YES,0.0839,839.0,546.6722,546.6722,21086.2138,1,0,247785.31
LoL: GIANTX vs Fnatic (BO3) - LEC Group Stage,GIANTX,Fnatic (BO3) - LEC Group Stage,2026-03-28,2026,0.5279,0.3116210819253421,0.2163,1,YES,0.0769,769.0,524.4146,524.4146,21610.6283,1,0,1337359.65
LoL: Karmine Corp vs Team Vitality (BO3) - LEC Group Stage,Karmine Corp,Team Vitality (BO3) - LEC Group Stage,2026-03-28,2026,0.5328,0.4156934568042582,0.1171,1,YES,0.0476,476.0,274.6614,274.6614,21885.2898,1,0,897258.3
LoL: LNG Esports vs ThunderTalk Gaming (BO3) - Esports World Cup China Qualifier Phase 1,LNG Esports,ThunderTalk Gaming (BO3) - Esports World Cup China Qualifier Phase 1,2026-03-28,2026,0.7138,0.5740077198965748,0.1398,0,YES,0.0791,791.0,-459.8426,-459.8426,21425.4471,0,0,565289.28
LoL: LOUD vs RED Canids (BO3) - CBLOL Regular Season,LOUD,RED Canids (BO3) - CBLOL Regular Season,2026-03-28,2026,0.4373,0.36207125531171414,0.0752,0,YES,0.0271,271.0,-99.9991,-99.9991,21325.448,1,1,80942.51
LoL: paiN Gaming vs Vivo Keyd Stars (BO3) - CBLOL Regular Season,paiN Gaming,Vivo Keyd Stars (BO3) - CBLOL Regular Season,2026-03-29,2026,0.5817,0.5397756579299412,0.0419,0,YES,0.019,190.0,-103.9734,-103.9734,21221.4746,0,0,55279.28
LoL: Ninjas in Pyjamas vs Oh My God (BO3) - Esports World Cup China Qualifier Phase 1,Ninjas in Pyjamas,Oh My God (BO3) - Esports World Cup China Qualifier Phase 1,2026-03-29,2026,0.5646,0.46797417349357784,0.0966,0,YES,0.0425,425.0,-202.0634,-202.0634,21019.4112,0,1,559804.31
LoL: SK Gaming vs Team Heretics (BO3) - LEC Group Stage,SK Gaming,Team Heretics (BO3) - LEC Group Stage,2026-03-29,2026,0.5195,0.40001921987066674,0.1195,0,YES,0.0474,474.0,-193.022,-193.022,20826.3892,0,1,929046.92
LoL: Natus Vincere vs Movistar KOI (BO3) - LEC Group Stage,Natus Vincere,Movistar KOI (BO3) - LEC Group Stage,2026-03-29,2026,0.3604,0.305569605649246,0.0548,1,YES,0.0176,176.0,121.0994,121.0994,20947.4886,0,0,738975.68
LoL: Anyone's Legend vs Top Esports (BO3) - Esports World Cup China Qualifier Phase 2,Anyone's Legend,Top Esports (BO3) - Esports World Cup China Qualifier Phase 2,2026-03-30,2026,0.5147,0.6037382641549801,-0.089,1,NO,0.0343,343.0,-138.3795,-138.3795,20809.109,1,1,551744.76
LoL: Natus Vincere vs SK Gaming (BO3) - LEC Group Stage,Natus Vincere,SK Gaming (BO3) - LEC Group Stage,2026-03-30,2026,0.5229,0.305569605649246,0.2173,1,YES,0.0767,767.0,527.7455,527.7455,21336.8545,1,0,1139907.45
LoL: Fluxo W7M vs Leviatan Esports (BO3) - CBLOL Regular Season,Fluxo W7M,Leviatan Esports (BO3) - CBLOL Regular Season,2026-03-30,2026,0.4373,0.3438681389652766,0.0934,1,YES,0.0334,334.0,216.8873,216.8873,21553.7418,0,0,201806.14
LoL: Movistar KOI vs Fnatic (BO3) - LEC Group Stage,Movistar KOI,Fnatic (BO3) - LEC Group Stage,2026-03-30,2026,0.7383,0.6255479977876967,0.1128,1,YES,0.0719,719.0,264.1785,264.1785,21817.9203,1,1,372566.7
LoL: HANJIN BRION Challengers vs Nongshim Esports Academy (BO3) - LCK Challengers League Rounds 1-2,HANJIN BRION Challengers,Nongshim Esports Academy (BO3) - LCK Challengers League Rounds 1-2,2026-03-30,2026,0.2444,0.175385958805121,0.069,0,YES,0.0197,197.0,-35.4058,-35.4058,21782.5145,1,1,193313.8
LoL: BNK FearX Youth vs Hanwha Life Esports Challengers (BO3) - LCK Challengers League Rounds 1-2,BNK FearX Youth,Hanwha Life Esports Challengers (BO3) - LCK Challengers League Rounds 1-2,2026-03-30,2026,0.5081,0.5943318849655432,-0.0862,0,NO,0.0336,336.0,197.2652,197.2652,21979.7797,0,0,193804.62
LoL: KT Rolster Challengers vs DN SOOPers Challengers (BO3) - LCK Challengers League Rounds 1-2,KT Rolster Challengers,DN SOOPers Challengers (BO3) - LCK Challengers League Rounds 1-2,2026-03-30,2026,0.52,0.5593517566068023,-0.0394,1,NO,0.0145,145.0,-64.9662,-64.9662,21914.8135,1,1,88073.82
LoL: JD Gaming vs Oh My God (BO3) - Esports World Cup China Qualifier Phase 2,JD Gaming,Oh My God (BO3) - Esports World Cup China Qualifier Phase 2,2026-03-31,2026,0.6075,0.34059335655508555,0.2669,1,YES,0.0997,997.0,650.711,650.711,22565.5245,1,0,682775.87
LoL: Team Heretics vs Team Vitality (BO3) - LEC Group Stage,Team Heretics,Team Vitality (BO3) - LEC Group Stage,2026-03-31,2026,0.3432,0.37269517865656876,-0.0295,0,NO,0.0154,154.0,56.3149,56.3149,22621.8394,1,1,480520.0
LoL: Kiwoom DRX Challengers vs T1 Academy (BO3) - LCK Challengers League Rounds 1-2,Kiwoom DRX Challengers,T1 Academy (BO3) - LCK Challengers League Rounds 1-2,2026-03-31,2026,0.3263,0.3328733889688934,-0.0066,0,PASS,0.0,0.0,0.0,0.0,22621.8394,1,1,290877.2
LoL: Dplus KIA Challengers vs Gen.G Global Academy (BO3) - LCK Challengers League Rounds 1-2,Dplus KIA Challengers,Gen.G Global Academy (BO3) - LCK Challengers League Rounds 1-2,2026-03-31,2026,0.7057,0.6253988576377033,0.0803,1,YES,0.0498,498.0,183.0513,183.0513,22804.8907,1,1,79002.49
LoL: Bilibili Gaming vs Team WE (BO3) - Esports World Cup China Qualifier Phase 2,Bilibili Gaming,Team WE (BO3) - Esports World Cup China Qualifier Phase 2,2026-03-31,2026,0.6816,0.5062641412384168,0.1753,1,YES,0.0863,863.0,419.6226,419.6226,23224.5133,1,1,544664.42
