question,team1,team2,end_date,year,p_model,p_market,edge,result,bet_direction,kelly_size,stake,directional_pnl,total_pnl,cumulative_pnl,model_correct,elo_correct,volume
LoL: Shifters vs Fnatic (BO1) - LEC Versus Regular Season,Shifters,Fnatic (BO1) - LEC Versus Regular Season,2026-01-31,2026,0.3846,0.16247266056205364,0.2221,1,YES,0.0654,654.0,545.0731,545.0731,8510.5625,0,0,329146.91
LoL: Team Heretics vs SK Gaming (BO1) - LEC Versus Regular Season,Team Heretics,SK Gaming (BO1) - LEC Versus Regular Season,2026-01-31,2026,0.4908,0.16880888447249062,0.322,0,YES,0.0961,961.0,-166.2705,-166.2705,8344.2919,1,1,256133.74
LoL: FURIA Esports vs Fluxo W7M (BO1) - CBLOL Cup Regular Season,FURIA Esports,Fluxo W7M (BO1) - CBLOL Cup Regular Season,2026-01-31,2026,0.7252,0.5786295738677498,0.1466,1,YES,0.0841,841.0,348.221,348.221,8692.5129,1,1,42310.56
LoL: Vivo Keyd Stars vs RED Canids (BO1) - CBLOL Cup Regular Season,Vivo Keyd Stars,RED Canids (BO1) - CBLOL Cup Regular Season,2026-01-31,2026,0.5514,0.58922696664848,-0.0378,0,NO,0.0131,131.0,76.2375,76.2375,8768.7505,0,0,53468.97
LoL: Natus Vincere vs GIANTX (BO1) - LEC Versus Regular Season,Natus Vincere,GIANTX (BO1) - LEC Versus Regular Season,2026-01-31,2026,0.444,0.21711815733018144,0.2269,0,YES,0.0713,713.0,-158.4411,-158.4411,8610.3094,1,1,338172.99
LoL: Bilibili Gaming vs Invictus Gaming (BO3) - LPL Group Ascend,Bilibili Gaming,Invictus Gaming (BO3) - LPL Group Ascend,2026-01-31,2026,0.5345,0.5104961725306254,0.024,1,YES,0.0086,86.0,41.4526,41.4526,8651.762,1,1,994569.44
LoL: JD Gaming vs Anyone's Legend (BO3) - LPL Group Ascend,JD Gaming,Anyone's Legend (BO3) - LPL Group Ascend,2026-01-31,2026,0.5591,0.579012720187469,-0.0199,0,PASS,0.0,0.0,0.0,0.0,8651.762,0,0,2068504.61
LoL: T1 vs Dplus KIA (BO5) - LCK Cup Group Stage,T1,Dplus KIA (BO5) - LCK Cup Group Stage,2026-01-31,2026,0.707,0.7778414337978439,-0.0708,1,NO,0.0212,212.0,-48.1967,-48.1967,8603.5653,1,1,1389501.16
LoL: Anyone's Legend vs Top Esports (BO3) - LPL Group Ascend,Anyone's Legend,Top Esports (BO3) - LPL Group Ascend,2026-02-01,2026,0.555,0.6032795836096194,-0.0483,1,NO,0.0172,172.0,-69.4709,-69.4709,8534.0945,1,1,623642.06
LoL: LOS vs RED Canids (BO1) - CBLOL Cup Regular Season,LOS,RED Canids (BO1) - CBLOL Cup Regular Season,2026-02-01,2026,0.4933,0.5986283745007219,-0.1053,1,NO,0.0415,415.0,-169.5606,-169.5606,8364.5339,0,1,68937.62
LoL: FURIA Esports vs Vivo Keyd Stars (BO1) - CBLOL Cup Regular Season,FURIA Esports,Vivo Keyd Stars (BO1) - CBLOL Cup Regular Season,2026-02-01,2026,0.7326,0.7721979675326229,-0.0396,1,NO,0.0112,112.0,-26.1049,-26.1049,8338.429,1,1,41815.46
LoL: Team Vitality vs GIANTX (BO1) - LEC Versus Regular Season,Team Vitality,GIANTX (BO1) - LEC Versus Regular Season,2026-02-01,2026,0.3453,0.27336072276100254,0.0719,1,YES,0.0229,229.0,165.0358,165.0358,8503.4648,0,0,290302.44
